Recombinant ternary DES;Profile-Hydrogen donor;Profile-Hydrogen accept;LCCs interaction potential;Cosmovolume;Density;Solubility (log);Formula weight;Viscosity (In);Time;Temperature;Predicted delignification
cholinechloride[1]glutaricacid[2]glycerol[1];  0.016873;  0.029004;  -15.885252;  189.1266506725;  1.08861291;  -1.74728534;  123.9872775;  11.4857996824027;  2;  120;  30.68
cholinechloride[1]glutaricacid[2]glycol[1];  0.0114805;  0.0206165;  -15.975574;  180.1566840675;  1.07362563;  -1.71213224888889;  116.48075;  9.10185037698236;  2;  120;  45.86
cholinechloride[1]glutaricacid[2]propanediol[1];  0.0136395;  0.0220195;  -16.083586;  187.49485286;  1.06266274;  -1.69335200777778;  119.98742;  9.10604054840637;  2;  120;  35.74
cholinechloride[1]glutaricacid[2]xylitol[1];  0.0250575;  0.0399735;  -15.847098;  207.6489207325;  1.11156596;  -1.91758482444444;  139.0003275;  16.6529008425321;  2;  120;  29.18
cholinechloride[1]glutaricacid[5]benzylalcohol[1];  0.0234067142857143;  0.0139182857142857;  -17.597368;  236.219716553333;  1.26348505;  -1.40299899333333;  179.736863333333;  20.483360104778;  2;  120;  65.8
cholinechloride[1]glutaricacid[5]butanediol[1];  0.0299185714285714;  0.0143330714285714;  -17.317614;  83.3559900066667;  1.16797127;  -1.49511667333333;  58.6299983333333;  20.8278903440045;  2;  120;  42.67
cholinechloride[1]glutaricacid[5]glycerol[1];  0.0244187857142857;  0.0155073571428571;  -17.012418;  227.662414955;  1.27202279;  -1.56849217666667;  174.396248333333;  21.9443373762896;  2;  120;  62.74
cholinechloride[1]glutaricacid[5]glycol[1];  0.0241103571428571;  0.0153069285714286;  -17.090584;  222.959725656667;  1.28144133;  -1.55075757888889;  172.05847;  20.7213426398076;  2;  120;  62.5
cholinechloride[1]glutaricacid[5]propanediol[1];  0.0382927857142857;  0.0160592142857143;  -17.14707;  261.573394335;  1.27852536;  -1.54431264777778;  201.397383333333;  20.7121704615784;  2;  120;  68.96
cholinechloride[1]glutaricacid[5]xylitol[1];  0.0243826428571429;  0.0154212142857143;  -16.956922;  232.707865211667;  1.2611252;  -1.63638908222222;  176.734028333333;  24.6138802768553;  2;  120;  63.22
cholinechloride[1]glycolicacid[2]benzylalcohol[1];  0.006555;  0.010896;  -15.926418;  155.9554854525;  1.0643959;  -1.76499045888889;  99.9665625;  -2.78201218186271;  2;  120;  64.38
cholinechloride[1]glycolicacid[2]butanediol[1];  0.0133865;  0.0214165;  -15.264488;  150.540014155;  1.0530017;  -2.14137444777778;  95.4623075;  -2.25455688426547;  2;  120;  73.95
cholinechloride[1]glycolicacid[2]glycerol[1];  0.016873;  0.029004;  -14.322126;  144.272558845;  1.10442243;  -2.59561176333333;  95.9554975;  -0.102647258922497;  2;  120;  51.08
cholinechloride[1]glycolicacid[2]glycol[1];  0.0114805;  0.0206165;  -14.283106;  135.30259224;  1.08551483;  -2.62852988444444;  88.4489725;  -2.48659656434279;  2;  120;  55.02
cholinechloride[1]glycolicacid[2]propanediol[1];  0.0136395;  0.0220195;  -14.627168;  142.64076103;  1.07049296;  -2.46198462777778;  91.95564;  -2.48240639291879;  2;  120;  54.77
cholinechloride[1]glycolicacid[2]xylitol[1];  0.0250575;  0.0399735;  -14.480864;  162.794828905;  1.13190087;  -2.67074584;  110.96855;  5.06445390120694;  2;  120;  56.69
cholinechloride[1]glycolicacid[5]benzylalcohol[1];  0.0248807142857143;  0.0165051428571428;  -16.351068;  228.718707746667;  1.28550799;  -1.87402214555556;  177.06282;  3.38253632578138;  2;  120;  62.79
cholinechloride[1]glycolicacid[5]butanediol[1];  0.0293027142857143;  0.0145084285714286;  -15.920732;  141.073398045;  1.16918318;  -2.09707614444444;  99.3295783333333;  3.72706656500789;  2;  120;  74.65
cholinechloride[1]glycolicacid[5]glycerol[1];  0.0260499285714286;  0.0180722142857143;  -15.507026;  240.689915883333;  1.29062144;  -2.30773167666667;  187.071521666667;  4.84351359729302;  2;  120;  75.93
cholinechloride[1]glycolicacid[5]glycol[1];  0.0292149285714286;  0.0129444285714286;  -15.525006;  96.6159809033333;  1.13964247;  -2.31002405333333;  66.3083933333333;  3.62051886081106;  2;  120;  77.73
cholinechloride[1]glycolicacid[5]propanediol[1];  0.0282906428571429;  0.0129193571428571;  -15.667264;  149.630699643333;  1.16158612;  -2.23616411333333;  104.670193333333;  3.6113466825818;  2;  120;  77.63
cholinechloride[1]glycolicacid[5]xylitol[1];  0.0289942857142857;  0.014308;  -15.571174;  136.370708746667;  1.18103566;  -2.34807627444444;  96.9918;  7.5130564978587;  2;  120;  67.55
cholinechloride[1]lacidacid[2]benzylalcohol[1];  0.006555;  0.010896;  -16.768862;  156.19469264;  0.97771914;  -1.18039580333333;  91.9668475;  -2.39870236856495;  2;  120;  69.06
cholinechloride[1]lacidacid[2]butanediol[1];  0.0133865;  0.0214165;  -16.090112;  150.779221345;  0.96322988;  -1.53618714222222;  87.4625925;  -1.87124707096771;  2;  120;  73.42
cholinechloride[1]lacidacid[2]glycerol[1];  0.016873;  0.029004;  -15.07706;  144.5117660325;  1.0106721;  -1.95075614666667;  87.9557825;  0.28066255437526;  2;  120;  59.69
